Product Name,Region,Sales,Profit,Discount,Category,Order Date
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45.98,19.7714,0.0,Technology,3/11/2016
Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,17.46,8.2062,0.0,Office Supplies,3/11/2016
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,211.96,8.47839999999999,0.0,Office Supplies,10/20/2014
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,45.0,4.95,0.0,Technology,6/20/2016
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,21.8,6.104,0.0,Technology,6/20/2016
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,38.22,17.9634,0.0,Office Supplies,4/18/2015
Avery 485,Central,75.18,35.3346,0.0,Office Supplies,4/18/2015
Longer-Life Soft White Bulbs,Central,6.16,2.9568,0.0,Furniture,4/18/2015
"Global Leather Task Chair, Black",Central,89.99,17.0981,0.0,Furniture,4/18/2015
Advantus Push Pins,East,15.26,6.2566,0.0,Office Supplies,12/11/2016
AT&T CL83451 4-Handset Telephone,East,1029.95,298.6855,0.0,Technology,12/11/2016
Home/Office Personal File Carts,East,208.56,52.14,0.0,Office Supplies,6/17/2016
Xerox 232,East,32.4,15.552,0.0,Office Supplies,6/17/2016
Novimex Turbo Task Chair,East,319.41,7.09800000000001,0.1,Furniture,6/17/2016
"Array Parchment Paper, Assorted Colors",East,14.56,6.9888,0.0,Office Supplies,6/17/2016
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,30.0,3.3,0.0,Technology,6/17/2016
Plastic Binding Combs,East,48.48,16.362,0.2,Office Supplies,6/17/2016
Prang Dustless Chalk Sticks,East,1.68,0.84,0.0,Office Supplies,6/17/2016
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,13.98,6.1512,0.0,Technology,11/24/2015
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,25.824,9.3612,0.2,Office Supplies,11/24/2015
Xerox 1943,West,146.73,68.9631,0.0,Office Supplies,11/24/2015
Luxo Economy Swing Arm Lamp,West,79.76,22.3328,0.0,Furniture,11/24/2015
"Global Value Mid-Back Manager's Chair, Gray",Central,213.115,-15.2225,0.3,Furniture,4/30/2015
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,1113.024,111.3024,0.2,Office Supplies,12/5/2014
netTALK DUO VoIP Telephone Service,West,167.968,62.988,0.2,Technology,12/5/2014
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,75.88,35.6636,0.0,Office Supplies,6/4/2016
Avery Binding System Hidden Tab Executive Style Index Sets,East,4.616,1.731,0.2,Office Supplies,9/18/2016
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,19.05,8.763,0.0,Office Supplies,9/14/2017
High-Back Leather Manager's Chair,South,831.936,-114.3912,0.2,Furniture,4/26/2015
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,97.04,1.213,0.2,Furniture,4/26/2015
Safco Industrial Wire Shelving System,South,72.784,-18.196,0.2,Office Supplies,4/26/2015
Economy Binders,Central,1.248,-1.9344,0.8,Office Supplies,12/9/2017
"6"" Cubicle Wall Clock, Black",Central,9.708,-5.8248,0.6,Furniture,12/9/2017
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,27.24,2.724,0.2,Office Supplies,12/9/2017
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,19.3,-14.475,0.6,Furniture,11/26/2014
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,208.16,56.2032,0.0,Office Supplies,6/12/2016
Avery Heavy-Duty EZD  Binder With Locking Rings,South,16.74,8.0352,0.0,Office Supplies,6/12/2016
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,14.9,4.172,0.0,Office Supplies,10/12/2014
"Sortfiler Multipurpose Personal File Organizer, Black",West,21.39,6.2031,0.0,Office Supplies,10/12/2014
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,200.984,62.8075,0.2,Office Supplies,9/3/2015
Safco Industrial Wire Shelving,Central,230.376,-48.9549,0.2,Office Supplies,11/13/2017
Novimex Swivel Fabric Task Chair,South,301.96,33.2156,0.0,Furniture,5/28/2017
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,19.99,6.7966,0.0,Technology,10/26/2017
Avery 511,Central,6.16,2.9568,0.0,Office Supplies,10/26/2017
Eldon Portable Mobile Manager,Central,158.368,13.8572,0.2,Office Supplies,4/5/2016
Turquoise Lead Holder with Pocket Clip,West,20.1,6.633,0.0,Office Supplies,9/17/2016
Panasonic Kx-TS550,West,73.584,8.2782,0.2,Technology,9/17/2016
Xerox 1995,West,6.48,3.1104,0.0,Office Supplies,9/17/2016
Xerox 1999,Central,12.96,6.2208,0.0,Office Supplies,1/31/2015
"Seth Thomas 13 1/2"" Wall Clock",Central,53.34,16.5354,0.0,Furniture,1/31/2015
Ibico Standard Transparent Covers,Central,32.96,16.1504,0.0,Office Supplies,1/31/2015
Flexible Leather- Look Classic Collection Ring Binder,West,5.682,-3.788,0.7,Office Supplies,11/6/2017
9-3/4 Diameter Round Wall Clock,East,96.53,40.5426,0.0,Furniture,11/9/2017
Trimflex Flexible Post Binders,West,51.312,17.9592,0.2,Office Supplies,6/17/2017
Fellowes Basic Home/Office Series Surge Protectors,Central,77.88,22.5852,0.0,Office Supplies,9/6/2016
Avery Personal Creations Heavyweight Cards,Central,64.624,22.6184,0.2,Office Supplies,8/29/2016
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,95.976,-10.7973,0.2,Technology,8/29/2016
Avery Hidden Tab Dividers for Binding Systems,Central,1.788,-3.0396,0.8,Office Supplies,8/29/2016
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,23.92,11.7208,0.0,Office Supplies,12/1/2016
Logitech K350 2.4Ghz Wireless Keyboard,West,238.896,-26.8758,0.2,Technology,11/13/2015
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,102.36,-3.83850000000001,0.2,Furniture,11/13/2015
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,36.882,-25.8174,0.7,Office Supplies,11/13/2015
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,74.112,17.6016,0.2,Technology,11/23/2017
Speck Products Candyshell Flip Case,South,27.992,2.0994,0.2,Technology,11/23/2017
Newell Chalk Holder,South,3.304,1.0738,0.2,Office Supplies,11/23/2017
Logitech Gaming G510s - Keyboard,Central,339.96,67.992,0.2,Technology,10/15/2015
Magnifier Swing Arm Lamp,East,41.96,10.9096,0.0,Furniture,12/25/2017
"Hunt PowerHouse Electric Pencil Sharpener, Blue",Central,75.96,22.788,0.0,Office Supplies,11/3/2016
"Avery Durable Plastic 1"" Binders",Central,27.24,13.3476,0.0,Office Supplies,11/3/2016
"OIC Colored Binder Clips, Assorted Sizes",East,40.096,14.5348,0.2,Office Supplies,8/25/2014
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,4.72,1.652,0.2,Office Supplies,8/25/2014
Xerox 1921,East,23.976,7.4925,0.2,Office Supplies,8/25/2014
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",East,130.464,44.0316,0.2,Office Supplies,8/25/2014
Hon Racetrack Conference Tables,West,787.53,165.3813,0.0,Furniture,3/2/2015
GBC DocuBind 300 Electric Binding Machine,South,157.794,-115.7156,0.7,Office Supplies,4/5/2015
Artistic Insta-Plaque,East,47.04,18.3456,0.0,Furniture,6/12/2016
DXL Angle-View Binders with Locking Rings by Samsill,East,30.84,13.878,0.0,Office Supplies,6/12/2016
"Companion Letter/Legal File, Black",East,226.56,63.4368,0.0,Office Supplies,6/12/2016
Globe Weis Peel & Seel First Class Envelopes,East,115.02,51.759,0.0,Office Supplies,6/12/2016
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,East,68.04,19.7316,0.0,Technology,6/12/2016
Global Deluxe High-Back Manager's Chair,Central,600.558,-8.57940000000008,0.3,Furniture,12/26/2014
Bevis 44 x 96 Conference Tables,Central,617.7,-407.682,0.5,Furniture,9/20/2014
"Avery Durable Slant Ring Binders, No Labels",West,2.388,-1.8308,0.7,Office Supplies,11/5/2017
"Trav-L-File Heavy-Duty Shuttle II, Black",West,243.992,30.499,0.2,Office Supplies,11/5/2017
"Global Task Chair, Black",West,81.424,-9.1602,0.2,Furniture,11/6/2016
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,West,238.56,26.2416,0.0,Furniture,11/6/2016
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,East,59.97,-11.994,0.4,Technology,2/2/2017
Xerox 1916,East,78.304,29.364,0.2,Office Supplies,2/2/2017
Staples,East,21.456,6.9732,0.2,Office Supplies,2/2/2017
Xerox 195,West,20.04,9.6192,0.0,Office Supplies,10/13/2016
Xerox 1880,West,35.44,16.6568,0.0,Office Supplies,10/13/2016
"Sanford Colorific Colored Pencils, 12/Box",West,11.52,3.456,0.0,Office Supplies,10/13/2016
Ideal Clamps,West,4.02,1.9698,0.0,Office Supplies,10/13/2016
GBC Wire Binding Strips,West,76.176,26.6616,0.2,Office Supplies,10/13/2016
Fiskars Softgrip Scissors,West,65.88,18.4464,0.0,Office Supplies,10/13/2016
Longer-Life Soft White Bulbs,West,43.12,20.6976,0.0,Furniture,10/13/2016
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,82.8,10.35,0.2,Furniture,9/5/2016
Newell 343,West,8.82,2.3814,0.0,Office Supplies,9/18/2017
Convenience Packs of Business Envelopes,West,10.86,5.1042,0.0,Office Supplies,9/18/2017
Xerox 1911,West,143.7,68.976,0.0,Office Supplies,9/18/2017
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Central,839.43,218.2518,0.0,Office Supplies,12/22/2017
Safco Industrial Wire Shelving,West,671.93,20.1579,0.0,Office Supplies,9/7/2015
"Seth Thomas 14"" Putty-Colored Wall Clock",East,93.888,12.9096,0.2,Furniture,10/22/2014
Plantronics Cordless Phone Headset with In-line Volume - M214C,Central,384.45,103.8015,0.0,Technology,12/5/2016
Anker Astro 15000mAh USB Portable Charger,Central,149.97,5.99879999999998,0.0,Technology,12/5/2016
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Central,1951.84,585.552,0.0,Furniture,12/5/2016
GBC Prestige Therm-A-Bind Covers,Central,171.55,80.6285,0.0,Office Supplies,12/5/2016
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,West,157.92,17.766,0.2,Office Supplies,3/13/2016
Jabra BIZ 2300 Duo QD Duo Corded Headset,West,203.184,15.2388,0.2,Technology,3/13/2016
Southworth 25% Cotton Antique Laid Paper & Envelopes,West,58.38,26.271,0.0,Office Supplies,5/31/2015
Xerox 1883,West,105.52,48.5392,0.0,Office Supplies,5/31/2015
"Tenex Personal Project File with Scoop Front Design, Black",West,80.88,21.0288,0.0,Office Supplies,5/31/2015
Newell 311,West,6.63,1.7901,0.0,Office Supplies,5/28/2015
Global Deluxe High-Back Manager's Chair,West,457.568,51.4763999999999,0.2,Furniture,3/1/2014
Avery 519,Central,14.62,6.8714,0.0,Office Supplies,11/20/2016
Avaya 5420 Digital phone,Central,944.93,236.2325,0.0,Technology,11/20/2016
Xerox 1920,West,5.98,2.691,0.0,Office Supplies,5/11/2016
Lenovo 17-Key USB Numeric Keypad,East,54.384,1.3596,0.2,Technology,12/28/2015
Staple envelope,West,28.4,13.348,0.0,Office Supplies,11/16/2016
Wilson Jones International Size A4 Ring Binders,West,27.68,9.688,0.2,Office Supplies,11/7/2016
BIC Brite Liner Highlighters,Central,9.936,2.7324,0.2,Office Supplies,9/8/2014
Lexmark MX611dhe Monochrome Laser Printer,Central,8159.952,-1359.992,0.4,Technology,9/8/2014
Space Solutions HD Industrial Steel Shelving.,Central,275.928,-58.6347,0.2,Office Supplies,9/8/2014
SAFCO Arco Folding Chair,Central,1740.06,-24.8580000000002,0.3,Furniture,9/8/2014
Sanford Liquid Accent Highlighters,Central,32.064,6.8136,0.2,Office Supplies,9/8/2014
Kensington 7 Outlet MasterPiece Power Center,Central,177.98,-453.849,0.8,Office Supplies,9/8/2014
JBL Micro Wireless Portable Bluetooth Speaker,Central,143.976,8.99850000000001,0.2,Technology,9/8/2014
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",West,20.94,9.8418,0.0,Office Supplies,8/5/2014
Xerox 1913,West,110.96,53.2608,0.0,Office Supplies,8/5/2014
"Global Value Steno Chair, Gray",West,340.144,21.259,0.2,Furniture,8/5/2014
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Central,52.448,-131.12,0.8,Office Supplies,9/14/2014
Avery 51,Central,20.16,6.552,0.2,Office Supplies,9/14/2014
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Central,97.264,-243.16,0.8,Office Supplies,4/21/2017
"Padded Folding Chairs, Black, 4/Carton",East,396.802,-11.3371999999999,0.3,Furniture,11/21/2015
Acme Rosewood Handle Letter Opener,East,15.88,-3.7715,0.2,Office Supplies,11/21/2015
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",East,3.28,1.4104,0.0,Office Supplies,12/15/2015
"Tenex File Box, Personal Filing Tote with Lid, Black",Central,24.816,1.8612,0.2,Office Supplies,12/5/2014
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Central,408.744,76.6395,0.2,Technology,12/5/2014
AT&T TR1909W,South,503.96,131.0296,0.0,Technology,11/19/2014
Nokia Lumia 521 (T-Mobile),South,149.95,41.986,0.0,Technology,11/19/2014
HP Standard 104 key PS/2 Keyboard,South,29.0,7.25,0.0,Technology,11/19/2014
Avery Poly Binder Pockets,East,7.16,3.4368,0.0,Office Supplies,11/28/2016
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,176.8,22.984,0.0,Technology,8/26/2014
"Personal Filing Tote with Lid, Black/Gray",Central,37.224,3.7224,0.2,Office Supplies,7/16/2016
Southworth 25% Cotton Antique Laid Paper & Envelopes,Central,20.016,6.255,0.2,Office Supplies,7/16/2016
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",East,899.136,112.392,0.2,Furniture,10/12/2015
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,East,71.76,20.0928,0.0,Technology,10/12/2015
Xerox 205,East,51.84,24.8832,0.0,Office Supplies,10/12/2015
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",East,626.352,46.9764,0.2,Furniture,10/12/2015
4009 Highlighters by Sanford,East,19.9,6.567,0.0,Office Supplies,10/12/2015
Poly String Tie Envelopes,West,14.28,6.7116,0.0,Office Supplies,10/31/2015
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",East,7.408,1.2038,0.2,Office Supplies,3/21/2014
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",East,6.048,1.5876,0.2,Office Supplies,3/21/2014
Decoflex Hanging Personal Folder File,East,46.26,12.0276,0.0,Office Supplies,11/6/2017
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,2.946,-2.2586,0.7,Office Supplies,7/6/2017
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",East,16.056,5.8203,0.2,Office Supplies,7/6/2017
Southworth 25% Cotton Linen-Finish Paper & Envelopes,East,21.744,6.795,0.2,Office Supplies,6/24/2017
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,West,218.75,-161.875,0.5,Furniture,8/3/2014
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",West,2.6,0.2925,0.2,Office Supplies,8/3/2014
Eureka Sanitaire  Commercial Upright,Central,66.284,-178.9668,0.8,Office Supplies,12/17/2017
"Eldon 200 Class Desk Accessories, Burgundy",South,35.168,9.6712,0.2,Furniture,6/3/2017
Nortel Business Series Terminal T7208 Digital phone,West,444.768,44.4768,0.2,Technology,12/9/2017
"Tennsco Lockers, Gray",Central,83.92,5.87439999999999,0.0,Office Supplies,12/1/2017
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Central,131.98,35.6346,0.0,Technology,12/1/2017
"Avery Durable Slant Ring Binders, No Labels",Central,15.92,7.4824,0.0,Office Supplies,12/1/2017
"Advantus Push Pins, Aluminum Head",Central,52.29,16.2099,0.0,Office Supplies,12/1/2017
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Central,91.99,3.67959999999999,0.0,Office Supplies,12/1/2017
Memorex Micro Travel Drive 8 GB,Central,20.8,6.5,0.2,Technology,2/9/2015
Avery 505,East,23.68,8.88,0.2,Office Supplies,1/2/2015
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,East,452.45,-244.323,0.5,Furniture,1/2/2015
Speck Products Candyshell Flip Case,East,62.982,-14.6958,0.4,Technology,1/2/2015
Cisco 9971 IP Video Phone Charcoal,East,1188.0,-950.4,0.7,Technology,1/2/2015
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,East,89.584,4.47920000000001,0.2,Technology,1/2/2015
"Personal Filing Tote with Lid, Black/Gray",West,93.06,26.0568,0.0,Office Supplies,10/28/2016
Adtran 1202752G1,West,302.376,22.6782,0.2,Technology,10/28/2016
OIC Bulk Pack Metal Binder Clips,East,5.584,1.8148,0.2,Office Supplies,12/24/2015
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",East,22.704,8.2302,0.2,Office Supplies,12/24/2015
Ibico Standard Transparent Covers,East,19.776,-13.8432,0.7,Office Supplies,12/24/2015
"Executive Impressions 14"" Two-Color Numerals Wall Clock",East,72.704,19.0848,0.2,Furniture,12/24/2015
Swingline SM12-08 MicroCut Jam Free Shredder,East,479.988,-383.9904,0.7,Technology,12/24/2015
Stanley Bostitch Contemporary Electric Pencil Sharpeners,East,27.168,2.7168,0.2,Office Supplies,12/24/2015
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Central,2.2,0.968,0.0,Office Supplies,8/9/2015
Bevis 36 x 72 Conference Tables,Central,622.45,136.939,0.0,Furniture,8/9/2015
Rogers Deluxe File Chest,Central,21.98,0.219799999999999,0.0,Office Supplies,8/9/2015
Global Low Back Tilter Chair,South,161.568,-28.2744,0.2,Furniture,2/28/2015
"Global Push Button Manager's Chair, Indigo",South,389.696,43.8408,0.2,Furniture,2/28/2015
GBC Instant Index System for Binding Systems,South,18.648,-12.432,0.7,Office Supplies,9/13/2014
Bush Advantage Collection Round Conference Table,South,233.86,-102.048,0.45,Furniture,4/7/2017
Bretford Rectangular Conference Table Tops,South,620.6145,-248.2458,0.45,Furniture,4/7/2017
GBC Instant Index System for Binding Systems,South,5.328,-3.552,0.7,Office Supplies,4/7/2017
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",South,258.072,0.0,0.2,Furniture,4/7/2017
Logitech P710e Mobile Speakerphone,South,617.976,-7.7247000000001,0.2,Technology,4/7/2017
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),West,10.56,4.752,0.0,Office Supplies,11/12/2017
Xerox 1957,Central,25.92,9.396,0.2,Office Supplies,6/4/2016
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Central,419.68,-356.728,0.6,Furniture,6/4/2016
Staple-based wall hangings,Central,11.688,-4.6752,0.6,Furniture,6/4/2016
PureGear Roll-On Screen Protector,Central,31.984,11.1944,0.2,Technology,6/4/2016
KI Conference Tables,Central,177.225,-120.513,0.5,Furniture,6/4/2016
Eldon 100 Class Desk Accessories,Central,4.044,-2.8308,0.6,Furniture,6/4/2016
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Central,7.408,1.2038,0.2,Office Supplies,6/4/2016
Global Deluxe High-Back Manager's Chair,Central,2001.86,580.5394,0.0,Furniture,6/1/2014
Safco Steel Mobile File Cart,Central,166.72,41.68,0.0,Office Supplies,6/1/2014
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Central,47.88,23.94,0.0,Office Supplies,6/1/2014
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Central,1503.25,496.0725,0.0,Office Supplies,6/1/2014
Xerox 205,Central,25.92,12.4416,0.0,Office Supplies,6/1/2014
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",West,321.568,28.1372,0.2,Furniture,12/10/2016
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",West,7.61,3.5767,0.0,Office Supplies,9/11/2016
Logitech P710e Mobile Speakerphone,West,3347.37,636.0003,0.0,Technology,9/11/2016
"Fellowes Personal Hanging Folder Files, Navy",East,80.58,22.5624,0.0,Office Supplies,12/10/2016
Tyvek Side-Opening Peel & Seel Expanding Envelopes,East,361.92,162.864,0.0,Office Supplies,12/10/2016
Eldon 100 Class Desk Accessories,Central,12.132,-8.4924,0.6,Furniture,11/28/2015
"Belkin 19"" Vented Equipment Shelf, Black",Central,82.368,-19.5624,0.2,Office Supplies,11/28/2015
"Tenex Personal Project File with Scoop Front Design, Black",Central,53.92,4.044,0.2,Office Supplies,11/28/2015
Logitech Mobile Speakerphone P710e - speaker phone,Central,647.904,56.6916,0.2,Technology,11/28/2015
Sabrent 4-Port USB 2.0 Hub,East,20.37,6.9258,0.0,Technology,12/1/2017
Safco Industrial Shelving,East,221.55,6.64650000000002,0.0,Office Supplies,12/1/2017
Acco 3-Hole Punch,East,17.52,6.132,0.2,Office Supplies,12/1/2017
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Central,1.624,-4.466,0.8,Office Supplies,6/8/2017
Lexmark MX611dhe Monochrome Laser Printer,Central,3059.982,-509.997000000001,0.4,Technology,9/19/2014
Xerox WorkCentre 6505DN Laser Multifunction Printer,Central,2519.958,-251.9958,0.4,Technology,9/19/2014
Cisco Small Business SPA 502G VoIP phone,Central,328.224,28.7196,0.2,Technology,6/6/2016
Microsoft Sculpt Comfort Mouse,West,79.9,35.156,0.0,Technology,11/10/2015
"Quartet Omega Colored Chalk, 12/Pack",South,14.016,4.7304,0.2,Office Supplies,6/16/2017
Bagged Rubber Bands,East,7.56,0.3024,0.0,Office Supplies,1/22/2016
Safco Commercial Shelving,East,37.208,-7.4416,0.2,Office Supplies,12/9/2017
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",East,57.576,21.591,0.2,Office Supplies,12/9/2017
Adjustable Depth Letter/Legal Cart,West,725.84,210.4936,0.0,Office Supplies,12/28/2017
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,West,209.93,92.3692,0.0,Technology,7/30/2015
Regeneration Desk Collection,West,5.28,2.3232,0.0,Furniture,7/30/2015
